Национальная сборная: Mexico
Тренер: Javier Aguirre Onaindía
Игроки:
Raul RANGEL - Goalkeeper
Carlos ACEVEDO - Goalkeeper
Guillermo OCHOA - Goalkeeper
Jorge SANCHEZ - Defender
Cesar MONTES - Defender
Edson ALVAREZ - Defender
Johan VASQUEZ - Defender
Israel REYES - Defender
Mateo CHAVEZ - Defender
Jesus GALLARDO - Defender
Erik LIRA - Midfielder
Luis ROMO - Midfielder
Alvaro FIDALGO - Midfielder
Orbelin PINEDA - Midfielder
Obed VARGAS - Midfielder
Gilberto MORA - Midfielder
Luis CHAVEZ - Midfielder
Brian GUTIERREZ - Midfielder
Raul JIMENEZ - Forward
Alexis VEGA - Forward
Santiago GIMENEZ - Forward
Armando GONZALEZ - Forward
Julian QUINONES - Forward
Cesar HUERTA - Forward
Guillermo MARTINEZ - Forward
Roberto ALVARADO - Forward

Национальная сборная: South Africa
Тренер: Hugo Henri Broos
Игроки:
Ronwen WILLIAMS - Goalkeeper
Sipho CHAINE - Goalkeeper
Ricardo GOSS - Goalkeeper
Thabang MATULUDI - Defender
Khulumani NDAMANE - Defender
Aubrey MODIBA - Defender
Mbekezeli MBOKAZI - Defender
Samukele KABINI - Defender
Nkosinathi SIBISI - Defender
Khuliso MUDAU - Defender
Ime OKON - Defender
Olwethu MAKHANYA - Defender
Bradley Cross - Defender
Teboho MOKOENA - Midfielder
Thalente MBATHA - Midfielder
Themba ZWANE - Midfielder
Sphephelo SITHOLE - Midfielder
Jayden ADAMS - Midfielder
Oswin APPOLLIS - Forward
Tshepang MOREMI - Forward
Lyle FOSTER - Forward
Relebohile MOFOKENG - Forward
Thapelo MASEKO - Forward
Iqraam RAYNERS - Forward
Evidence MAKGOPA - Forward
Kamogelo SEBELEBELE - Forward

Korea Republic
Тренер: Myung-Bo Hong
KIM Seunggyu - Goalkeeper
SONG Bumkeun - Goalkeeper
JO Hyeonwoo - Goalkeeper
LEE Hanbeom - Defender
KIM Minjae - Defender
KIM Taehyeon - Defender
LEE Taeseok - Defender
CHO Wije - Defender
KIM Moonhwan - Defender
PARK Jinseob - Defender
SEOL Youngwoo - Defender
CASTROP Jens - Defender
LEE Gihyuk - Midfielder
HWANG Inbeom - Midfielder
PAIK Seungho - Midfielder
LEE Jaesung - Midfielder
HWANG Heechan - Midfielder
BAE Junho - Midfielder
LEE Kangin - Midfielder
